RUN INSTRUCTION:
To run the implementation, first start the REST server:
node dist/REST_API/rest.js
Then in another terminal, run the actual monte_carlo application:
node dist/monte_carlo.js -n 100

OUTPUT:

{'pomposity': 85.59, 'learning_curve': 91.34, 'optimism': 47.75, 'atleast': 4.74, 'done_percent': 6.71, 'productivity_new': 0.01, 'productivity_exp': 1.81, 'd': 1.00, 'ep': 5.25, 'nprod': 5.77, 'np': 29.79, 'ts': 65.11, 'to': 67.46, 'r': 787.70, 'verbose': False}
{'pomposity': 76.69, 'learning_curve': 62.48, 'optimism': 59.43, 'atleast': 7.31, 'done_percent': 7.70, 'productivity_new': 0.49, 'productivity_exp': 6.70, 'd': 0.72, 'ep': 5.39, 'nprod': 1.88, 'np': 16.96, 'ts': 70.48, 'to': 87.24, 'r': 761.35, 'verbose': False}
{'pomposity': 10.28, 'learning_curve': 36.14, 'optimism': 61.31, 'atleast': 2.43, 'done_percent': 8.58, 'productivity_new': 0.95, 'productivity_exp': 2.36, 'd': 0.88, 'ep': 6.57, 'nprod': 1.10, 'np': 24.15, 'ts': 2.31, 'to': 90.91, 'r': 918.48, 'verbose': False}
{'pomposity': 15.62, 'learning_curve': 73.20, 'optimism': 72.09, 'atleast': 1.56, 'done_percent': 0.43, 'productivity_new': 0.45, 'productivity_exp': 8.72, 'd': 0.61, 'ep': 7.02, 'nprod': 8.61, 'np': 28.76, 'ts': 29.40, 'to': 53.88, 'r': 160.02, 'verbose': False}
{'pomposity': 53.91, 'learning_curve': 89.32, 'optimism': 65.19, 'atleast': 7.95, 'done_percent': 7.46, 'productivity_new': 0.55, 'productivity_exp': 7.78, 'd': 0.63, 'ep': 6.21, 'nprod': 7.72, 'np': 22.82, 'ts': 9.66, 'to': 64.03, 'r': 510.39, 'verbose': False}
{'pomposity': 3.57, 'learning_curve': 21.67, 'optimism': 60.17, 'atleast': 3.16, 'done_percent': 0.70, 'productivity_new': 0.32, 'productivity_exp': 6.65, 'd': 0.91, 'ep': 4.36, 'nprod': 3.73, 'np': 12.60, 'ts': 85.39, 'to': 3.59, 'r': 898.17, 'verbose': False}
{'pomposity': 45.69, 'learning_curve': 31.48, 'optimism': 67.05, 'atleast': 3.32, 'done_percent': 6.87, 'productivity_new': 0.25, 'productivity_exp': 8.32, 'd': 0.36, 'ep': 3.18, 'nprod': 9.52, 'np': 16.94, 'ts': 71.57, 'to': 6.20, 'r': 561.12, 'verbose': False}
{'pomposity': 53.98, 'learning_curve': 34.39, 'optimism': 40.00, 'atleast': 3.56, 'done_percent': 2.71, 'productivity_new': 0.26, 'productivity_exp': 6.99, 'd': 0.24, 'ep': 4.83, 'nprod': 8.32, 'np': 15.96, 'ts': 27.76, 'to': 61.90, 'r': 838.38, 'verbose': False}
{'pomposity': 55.22, 'learning_curve': 92.57, 'optimism': 96.74, 'atleast': 6.61, 'done_percent': 3.18, 'productivity_new': 0.32, 'productivity_exp': 8.34, 'd': 0.20, 'ep': 8.13, 'nprod': 3.15, 'np': 27.35, 'ts': 79.02, 'to': 80.92, 'r': 816.98, 'verbose': False}
{'pomposity': 54.39, 'learning_curve': 12.36, 'optimism': 37.03, 'atleast': 5.52, 'done_percent': 6.07, 'productivity_new': 0.08, 'productivity_exp': 9.57, 'd': 0.10, 'ep': 4.92, 'nprod': 6.07, 'np': 25.18, 'ts': 22.36, 'to': 41.60, 'r': 596.71, 'verbose': False}
{'pomposity': 8.41, 'learning_curve': 5.72, 'optimism': 98.98, 'atleast': 8.60, 'done_percent': 5.12, 'productivity_new': 0.50, 'productivity_exp': 7.33, 'd': 0.41, 'ep': 4.08, 'nprod': 4.59, 'np': 24.63, 'ts': 36.55, 'to': 41.33, 'r': 496.00, 'verbose': False}
{'pomposity': 27.24, 'learning_curve': 1.74, 'optimism': 1.38, 'atleast': 9.68, 'done_percent': 0.22, 'productivity_new': 0.42, 'productivity_exp': 7.95, 'd': 0.55, 'ep': 5.74, 'nprod': 4.55, 'np': 21.29, 'ts': 88.97, 'to': 25.65, 'r': 855.40, 'verbose': False}
{'pomposity': 70.58, 'learning_curve': 53.46, 'optimism': 53.65, 'atleast': 2.25, 'done_percent': 5.87, 'productivity_new': 0.27, 'productivity_exp': 7.33, 'd': 0.66, 'ep': 3.03, 'nprod': 5.13, 'np': 26.77, 'ts': 61.36, 'to': 7.69, 'r': 43.50, 'verbose': False}
{'pomposity': 98.97, 'learning_curve': 77.37, 'optimism': 33.63, 'atleast': 6.64, 'done_percent': 1.24, 'productivity_new': 0.95, 'productivity_exp': 1.99, 'd': 0.41, 'ep': 4.49, 'nprod': 4.89, 'np': 26.09, 'ts': 14.47, 'to': 53.90, 'r': 211.69, 'verbose': False}
{'pomposity': 55.59, 'learning_curve': 77.82, 'optimism': 64.92, 'atleast': 7.82, 'done_percent': 5.85, 'productivity_new': 0.92, 'productivity_exp': 9.55, 'd': 0.22, 'ep': 2.36, 'nprod': 1.81, 'np': 5.57, 'ts': 45.44, 'to': 90.82, 'r': 143.71, 'verbose': False}
{'pomposity': 20.69, 'learning_curve': 24.89, 'optimism': 41.84, 'atleast': 0.66, 'done_percent': 3.55, 'productivity_new': 0.90, 'productivity_exp': 2.65, 'd': 0.68, 'ep': 2.20, 'nprod': 0.59, 'np': 7.53, 'ts': 55.30, 'to': 12.96, 'r': 45.00, 'verbose': False}
{'pomposity': 33.42, 'learning_curve': 41.43, 'optimism': 62.47, 'atleast': 9.59, 'done_percent': 3.38, 'productivity_new': 0.77, 'productivity_exp': 6.21, 'd': 0.72, 'ep': 7.11, 'nprod': 4.86, 'np': 23.77, 'ts': 28.52, 'to': 6.26, 'r': 696.00, 'verbose': False}
{'pomposity': 95.47, 'learning_curve': 9.76, 'optimism': 31.49, 'atleast': 2.41, 'done_percent': 7.58, 'productivity_new': 0.46, 'productivity_exp': 9.82, 'd': 0.14, 'ep': 7.45, 'nprod': 3.25, 'np': 20.97, 'ts': 93.54, 'to': 86.02, 'r': 72.44, 'verbose': False}
{'pomposity': 44.24, 'learning_curve': 77.03, 'optimism': 77.23, 'atleast': 9.14, 'done_percent': 7.55, 'productivity_new': 0.56, 'productivity_exp': 8.09, 'd': 0.90, 'ep': 5.31, 'nprod': 6.36, 'np': 7.11, 'ts': 42.15, 'to': 99.10, 'r': 592.32, 'verbose': False}
{'pomposity': 53.91, 'learning_curve': 84.24, 'optimism': 54.59, 'atleast': 5.64, 'done_percent': 0.77, 'productivity_new': 0.84, 'productivity_exp': 7.79, 'd': 0.36, 'ep': 6.25, 'nprod': 6.22, 'np': 3.67, 'ts': 28.81, 'to': 39.15, 'r': 722.82, 'verbose': False}
{'pomposity': 92.74, 'learning_curve': 33.45, 'optimism': 1.20, 'atleast': 7.56, 'done_percent': 2.91, 'productivity_new': 0.99, 'productivity_exp': 1.70, 'd': 0.01, 'ep': 3.50, 'nprod': 8.09, 'np': 23.03, 'ts': 92.79, 'to': 81.24, 'r': 440.62, 'verbose': False}
{'pomposity': 22.62, 'learning_curve': 30.50, 'optimism': 82.55, 'atleast': 4.64, 'done_percent': 8.78, 'productivity_new': 0.46, 'productivity_exp': 2.16, 'd': 0.67, 'ep': 6.58, 'nprod': 3.10, 'np': 7.64, 'ts': 92.42, 'to': 55.63, 'r': 878.67, 'verbose': False}
{'pomposity': 8.30, 'learning_curve': 55.35, 'optimism': 70.33, 'atleast': 9.52, 'done_percent': 0.12, 'productivity_new': 0.41, 'productivity_exp': 1.42, 'd': 0.36, 'ep': 6.68, 'nprod': 4.33, 'np': 6.10, 'ts': 87.73, 'to': 74.61, 'r': 490.53, 'verbose': False}
{'pomposity': 40.82, 'learning_curve': 18.84, 'optimism': 52.30, 'atleast': 4.54, 'done_percent': 1.39, 'productivity_new': 0.90, 'productivity_exp': 7.60, 'd': 0.41, 'ep': 9.23, 'nprod': 5.48, 'np': 1.54, 'ts': 51.61, 'to': 33.74, 'r': 718.28, 'verbose': False}
{'pomposity': 10.24, 'learning_curve': 90.40, 'optimism': 13.33, 'atleast': 0.15, 'done_percent': 5.66, 'productivity_new': 0.94, 'productivity_exp': 3.49, 'd': 0.53, 'ep': 9.75, 'nprod': 7.77, 'np': 13.47, 'ts': 47.47, 'to': 8.83, 'r': 784.06, 'verbose': False}
{'pomposity': 67.07, 'learning_curve': 77.93, 'optimism': 89.77, 'atleast': 4.89, 'done_percent': 0.87, 'productivity_new': 0.19, 'productivity_exp': 7.97, 'd': 0.56, 'ep': 3.26, 'nprod': 0.90, 'np': 1.87, 'ts': 1.68, 'to': 50.39, 'r': 879.96, 'verbose': False}
{'pomposity': 95.25, 'learning_curve': 96.93, 'optimism': 96.79, 'atleast': 4.35, 'done_percent': 4.90, 'productivity_new': 0.23, 'productivity_exp': 3.68, 'd': 0.35, 'ep': 7.31, 'nprod': 7.66, 'np': 20.78, 'ts': 71.25, 'to': 94.62, 'r': 457.57, 'verbose': False}
{'pomposity': 45.27, 'learning_curve': 25.54, 'optimism': 3.43, 'atleast': 7.48, 'done_percent': 6.21, 'productivity_new': 0.37, 'productivity_exp': 8.00, 'd': 0.53, 'ep': 8.64, 'nprod': 5.37, 'np': 13.66, 'ts': 99.11, 'to': 67.99, 'r': 230.37, 'verbose': False}
{'pomposity': 81.60, 'learning_curve': 68.15, 'optimism': 28.24, 'atleast': 0.74, 'done_percent': 6.95, 'productivity_new': 0.68, 'productivity_exp': 8.41, 'd': 0.70, 'ep': 4.71, 'nprod': 2.82, 'np': 24.90, 'ts': 96.28, 'to': 52.40, 'r': 289.50, 'verbose': False}
{'pomposity': 1.86, 'learning_curve': 13.23, 'optimism': 18.51, 'atleast': 5.90, 'done_percent': 1.60, 'productivity_new': 0.85, 'productivity_exp': 4.78, 'd': 0.54, 'ep': 1.97, 'nprod': 2.95, 'np': 10.94, 'ts': 28.02, 'to': 77.95, 'r': 841.49, 'verbose': False}
{'pomposity': 23.79, 'learning_curve': 78.90, 'optimism': 97.83, 'atleast': 3.18, 'done_percent': 6.21, 'productivity_new': 0.20, 'productivity_exp': 4.23, 'd': 0.47, 'ep': 2.10, 'nprod': 1.83, 'np': 26.77, 'ts': 41.48, 'to': 6.97, 'r': 172.72, 'verbose': False}
{'pomposity': 80.81, 'learning_curve': 68.45, 'optimism': 0.11, 'atleast': 3.89, 'done_percent': 8.94, 'productivity_new': 0.36, 'productivity_exp': 1.48, 'd': 0.91, 'ep': 9.26, 'nprod': 4.98, 'np': 25.54, 'ts': 79.46, 'to': 63.68, 'r': 567.48, 'verbose': False}
{'pomposity': 0.35, 'learning_curve': 14.74, 'optimism': 24.55, 'atleast': 1.18, 'done_percent': 9.82, 'productivity_new': 0.19, 'productivity_exp': 3.21, 'd': 0.62, 'ep': 3.59, 'nprod': 7.22, 'np': 6.94, 'ts': 91.99, 'to': 52.18, 'r': 638.13, 'verbose': False}
{'pomposity': 86.99, 'learning_curve': 69.29, 'optimism': 10.15, 'atleast': 6.98, 'done_percent': 9.73, 'productivity_new': 0.92, 'productivity_exp': 4.70, 'd': 0.51, 'ep': 7.82, 'nprod': 1.19, 'np': 17.96, 'ts': 62.92, 'to': 60.11, 'r': 232.06, 'verbose': False}
{'pomposity': 15.60, 'learning_curve': 76.14, 'optimism': 31.41, 'atleast': 6.86, 'done_percent': 1.90, 'productivity_new': 0.78, 'productivity_exp': 6.60, 'd': 0.99, 'ep': 3.69, 'nprod': 1.45, 'np': 12.25, 'ts': 94.52, 'to': 45.86, 'r': 577.08, 'verbose': False}
{'pomposity': 43.44, 'learning_curve': 2.28, 'optimism': 88.80, 'atleast': 6.90, 'done_percent': 1.84, 'productivity_new': 0.35, 'productivity_exp': 8.43, 'd': 0.99, 'ep': 7.75, 'nprod': 2.54, 'np': 28.06, 'ts': 34.24, 'to': 4.57, 'r': 884.79, 'verbose': False}
{'pomposity': 27.79, 'learning_curve': 55.94, 'optimism': 38.89, 'atleast': 0.24, 'done_percent': 8.04, 'productivity_new': 0.58, 'productivity_exp': 2.24, 'd': 0.73, 'ep': 5.08, 'nprod': 4.29, 'np': 28.11, 'ts': 70.39, 'to': 80.58, 'r': 461.16, 'verbose': False}
{'pomposity': 0.69, 'learning_curve': 4.19, 'optimism': 47.64, 'atleast': 9.32, 'done_percent': 9.39, 'productivity_new': 0.91, 'productivity_exp': 6.17, 'd': 0.43, 'ep': 9.95, 'nprod': 5.55, 'np': 14.21, 'ts': 33.33, 'to': 72.61, 'r': 95.13, 'verbose': False}
{'pomposity': 39.77, 'learning_curve': 50.37, 'optimism': 34.31, 'atleast': 6.67, 'done_percent': 8.27, 'productivity_new': 0.79, 'productivity_exp': 8.30, 'd': 0.55, 'ep': 5.25, 'nprod': 7.77, 'np': 29.38, 'ts': 79.04, 'to': 13.04, 'r': 773.76, 'verbose': False}
{'pomposity': 31.10, 'learning_curve': 11.19, 'optimism': 21.26, 'atleast': 2.28, 'done_percent': 3.78, 'productivity_new': 0.85, 'productivity_exp': 9.95, 'd': 0.43, 'ep': 5.02, 'nprod': 1.14, 'np': 2.94, 'ts': 33.47, 'to': 65.91, 'r': 673.15, 'verbose': False}
{'pomposity': 8.89, 'learning_curve': 8.60, 'optimism': 43.43, 'atleast': 0.78, 'done_percent': 4.90, 'productivity_new': 0.08, 'productivity_exp': 5.74, 'd': 0.71, 'ep': 9.42, 'nprod': 0.82, 'np': 17.52, 'ts': 58.67, 'to': 56.25, 'r': 919.06, 'verbose': False}
{'pomposity': 1.94, 'learning_curve': 62.77, 'optimism': 75.38, 'atleast': 9.84, 'done_percent': 1.53, 'productivity_new': 0.48, 'productivity_exp': 6.43, 'd': 0.20, 'ep': 7.16, 'nprod': 6.12, 'np': 23.46, 'ts': 64.84, 'to': 67.96, 'r': 236.53, 'verbose': False}
{'pomposity': 21.18, 'learning_curve': 52.23, 'optimism': 8.25, 'atleast': 3.75, 'done_percent': 2.91, 'productivity_new': 0.30, 'productivity_exp': 8.30, 'd': 0.65, 'ep': 1.27, 'nprod': 7.76, 'np': 4.67, 'ts': 40.90, 'to': 67.28, 'r': 335.06, 'verbose': False}
{'pomposity': 52.73, 'learning_curve': 7.97, 'optimism': 28.78, 'atleast': 0.09, 'done_percent': 1.78, 'productivity_new': 0.63, 'productivity_exp': 1.03, 'd': 0.03, 'ep': 4.27, 'nprod': 5.45, 'np': 21.71, 'ts': 47.35, 'to': 27.91, 'r': 447.62, 'verbose': False}
{'pomposity': 83.76, 'learning_curve': 36.48, 'optimism': 3.47, 'atleast': 1.75, 'done_percent': 9.46, 'productivity_new': 0.08, 'productivity_exp': 8.62, 'd': 0.41, 'ep': 3.64, 'nprod': 0.27, 'np': 1.88, 'ts': 21.82, 'to': 40.10, 'r': 587.60, 'verbose': False}
{'pomposity': 20.44, 'learning_curve': 37.62, 'optimism': 15.54, 'atleast': 3.57, 'done_percent': 6.77, 'productivity_new': 0.71, 'productivity_exp': 8.45, 'd': 0.76, 'ep': 7.55, 'nprod': 6.96, 'np': 26.64, 'ts': 64.95, 'to': 14.13, 'r': 859.90, 'verbose': False}
{'pomposity': 79.71, 'learning_curve': 61.83, 'optimism': 95.07, 'atleast': 3.50, 'done_percent': 5.14, 'productivity_new': 0.82, 'productivity_exp': 4.31, 'd': 0.34, 'ep': 3.08, 'nprod': 9.14, 'np': 14.79, 'ts': 44.03, 'to': 3.00, 'r': 427.56, 'verbose': False}
{'pomposity': 51.60, 'learning_curve': 37.60, 'optimism': 33.75, 'atleast': 4.87, 'done_percent': 7.28, 'productivity_new': 0.30, 'productivity_exp': 5.24, 'd': 0.50, 'ep': 5.03, 'nprod': 3.49, 'np': 11.08, 'ts': 49.62, 'to': 57.50, 'r': 484.97, 'verbose': False}
{'pomposity': 42.68, 'learning_curve': 31.07, 'optimism': 40.38, 'atleast': 2.72, 'done_percent': 9.02, 'productivity_new': 0.40, 'productivity_exp': 3.36, 'd': 0.88, 'ep': 2.84, 'nprod': 8.49, 'np': 8.14, 'ts': 46.67, 'to': 52.91, 'r': 257.17, 'verbose': False}
{'pomposity': 1.17, 'learning_curve': 72.01, 'optimism': 72.30, 'atleast': 4.78, 'done_percent': 4.67, 'productivity_new': 0.64, 'productivity_exp': 9.17, 'd': 0.37, 'ep': 5.89, 'nprod': 7.98, 'np': 28.89, 'ts': 65.16, 'to': 53.71, 'r': 212.07, 'verbose': False}
{'pomposity': 54.85, 'learning_curve': 27.22, 'optimism': 2.18, 'atleast': 8.48, 'done_percent': 8.19, 'productivity_new': 0.86, 'productivity_exp': 8.45, 'd': 0.95, 'ep': 3.79, 'nprod': 4.87, 'np': 5.72, 'ts': 23.91, 'to': 57.86, 'r': 296.59, 'verbose': False}
{'pomposity': 31.37, 'learning_curve': 37.99, 'optimism': 77.92, 'atleast': 6.51, 'done_percent': 9.69, 'productivity_new': 0.41, 'productivity_exp': 8.97, 'd': 0.07, 'ep': 1.68, 'nprod': 1.73, 'np': 23.75, 'ts': 33.31, 'to': 16.64, 'r': 190.29, 'verbose': False}
{'pomposity': 7.55, 'learning_curve': 22.52, 'optimism': 48.80, 'atleast': 3.34, 'done_percent': 4.19, 'productivity_new': 0.15, 'productivity_exp': 3.10, 'd': 0.26, 'ep': 3.09, 'nprod': 3.26, 'np': 6.09, 'ts': 62.09, 'to': 89.83, 'r': 379.60, 'verbose': False}
{'pomposity': 53.62, 'learning_curve': 88.83, 'optimism': 73.56, 'atleast': 4.89, 'done_percent': 6.66, 'productivity_new': 0.88, 'productivity_exp': 2.48, 'd': 0.30, 'ep': 5.86, 'nprod': 1.57, 'np': 4.68, 'ts': 56.12, 'to': 44.29, 'r': 817.37, 'verbose': False}
{'pomposity': 67.53, 'learning_curve': 66.77, 'optimism': 35.35, 'atleast': 3.71, 'done_percent': 7.90, 'productivity_new': 0.83, 'productivity_exp': 7.94, 'd': 0.26, 'ep': 5.06, 'nprod': 7.97, 'np': 15.93, 'ts': 20.10, 'to': 34.46, 'r': 814.33, 'verbose': False}
{'pomposity': 78.18, 'learning_curve': 39.26, 'optimism': 54.69, 'atleast': 1.62, 'done_percent': 5.64, 'productivity_new': 0.29, 'productivity_exp': 7.52, 'd': 0.23, 'ep': 3.29, 'nprod': 2.37, 'np': 4.11, 'ts': 74.76, 'to': 40.73, 'r': 554.57, 'verbose': False}
{'pomposity': 81.99, 'learning_curve': 26.41, 'optimism': 74.11, 'atleast': 1.21, 'done_percent': 5.76, 'productivity_new': 0.28, 'productivity_exp': 6.50, 'd': 0.57, 'ep': 5.88, 'nprod': 7.51, 'np': 4.27, 'ts': 69.60, 'to': 75.42, 'r': 364.89, 'verbose': False}
{'pomposity': 91.84, 'learning_curve': 24.40, 'optimism': 63.12, 'atleast': 0.15, 'done_percent': 5.58, 'productivity_new': 0.22, 'productivity_exp': 2.55, 'd': 0.13, 'ep': 4.08, 'nprod': 9.13, 'np': 11.96, 'ts': 44.89, 'to': 81.56, 'r': 148.57, 'verbose': False}
{'pomposity': 97.39, 'learning_curve': 13.97, 'optimism': 23.34, 'atleast': 4.73, 'done_percent': 5.89, 'productivity_new': 0.87, 'productivity_exp': 4.75, 'd': 0.88, 'ep': 6.61, 'nprod': 3.59, 'np': 29.88, 'ts': 45.50, 'to': 36.04, 'r': 148.03, 'verbose': False}
{'pomposity': 33.10, 'learning_curve': 62.35, 'optimism': 17.19, 'atleast': 2.54, 'done_percent': 0.73, 'productivity_new': 0.70, 'productivity_exp': 2.54, 'd': 0.17, 'ep': 2.38, 'nprod': 9.37, 'np': 21.24, 'ts': 71.07, 'to': 44.89, 'r': 881.14, 'verbose': False}
{'pomposity': 83.89, 'learning_curve': 52.57, 'optimism': 8.64, 'atleast': 5.02, 'done_percent': 5.13, 'productivity_new': 0.95, 'productivity_exp': 3.01, 'd': 0.77, 'ep': 4.91, 'nprod': 7.28, 'np': 14.47, 'ts': 92.35, 'to': 76.04, 'r': 632.31, 'verbose': False}
{'pomposity': 61.84, 'learning_curve': 24.90, 'optimism': 57.10, 'atleast': 3.08, 'done_percent': 8.01, 'productivity_new': 0.45, 'productivity_exp': 1.37, 'd': 0.50, 'ep': 6.63, 'nprod': 3.56, 'np': 14.82, 'ts': 18.36, 'to': 73.98, 'r': 172.94, 'verbose': False}
{'pomposity': 68.37, 'learning_curve': 11.89, 'optimism': 34.39, 'atleast': 5.86, 'done_percent': 3.16, 'productivity_new': 0.16, 'productivity_exp': 9.49, 'd': 0.37, 'ep': 9.05, 'nprod': 1.14, 'np': 18.78, 'ts': 76.90, 'to': 40.95, 'r': 540.72, 'verbose': False}
{'pomposity': 30.21, 'learning_curve': 37.59, 'optimism': 57.04, 'atleast': 3.16, 'done_percent': 0.50, 'productivity_new': 0.57, 'productivity_exp': 9.34, 'd': 0.71, 'ep': 3.80, 'nprod': 6.57, 'np': 20.33, 'ts': 47.88, 'to': 29.94, 'r': 390.79, 'verbose': False}
{'pomposity': 13.22, 'learning_curve': 28.43, 'optimism': 11.46, 'atleast': 6.17, 'done_percent': 1.61, 'productivity_new': 0.25, 'productivity_exp': 5.56, 'd': 0.88, 'ep': 5.94, 'nprod': 0.57, 'np': 2.51, 'ts': 24.91, 'to': 99.99, 'r': 464.39, 'verbose': False}
{'pomposity': 16.88, 'learning_curve': 36.00, 'optimism': 70.16, 'atleast': 3.19, 'done_percent': 9.94, 'productivity_new': 0.82, 'productivity_exp': 3.89, 'd': 0.71, 'ep': 4.37, 'nprod': 2.58, 'np': 3.36, 'ts': 97.38, 'to': 66.70, 'r': 476.35, 'verbose': False}
{'pomposity': 3.30, 'learning_curve': 90.77, 'optimism': 17.51, 'atleast': 6.66, 'done_percent': 1.86, 'productivity_new': 0.43, 'productivity_exp': 9.05, 'd': 0.47, 'ep': 7.84, 'nprod': 3.05, 'np': 14.39, 'ts': 29.82, 'to': 29.95, 'r': 278.14, 'verbose': False}
{'pomposity': 10.12, 'learning_curve': 9.17, 'optimism': 66.13, 'atleast': 1.04, 'done_percent': 0.73, 'productivity_new': 1.00, 'productivity_exp': 3.91, 'd': 0.66, 'ep': 4.49, 'nprod': 3.06, 'np': 5.09, 'ts': 86.09, 'to': 25.52, 'r': 727.44, 'verbose': False}
